AE-002 | Y,Y,Y,Y,Y,Y | D
CI-001 | N,N,N,N,N,Y | F
DA-006 | Y,Y,N,Y,Y,Y | F
IU-003 | N,N,N,N,Y,N | E
DI-002 | Y,N,N,N,N,N | A
MD-002 | N,N,Y,N,N,N | C 
PT-002 | N,N,N,Y,N,N | D
SP-006 | N,Y,N,N,N,N | B
WP-002 | N,N,N,N,N,Y | F
AE-007 | N,N,N,Y,N,N | D
CI-007 | N,N,N,N,Y,N | E
DA-005 | N,N,N,Y,N,N | D
IU-001 | Y,N,N,N,N,N | A
DI-004 | Y,N,N,Y,N,N | D
MD-005 | N,Y,N,N,N,N | B
PT-001 | N,N,Y,N,N,N | C
SP-001 | Y,N,N,N,N,Y | F
WP-001 | Y,N,N,N,N,N | A
AE-003 | N,N,N,Y,N,N | D
CI-003 | Y,N,Y,Y,N,N | Y
