drug_name,missing_core_sections
Acthar Gel,warnings_and_precautions
Ampyra,boxed_warning
Aubagio,boxed_warning
Avonex,boxed_warning
Baclofen,warnings_and_precautions
Bafiertam,boxed_warning
Betaseron,boxed_warning
Briumvi,boxed_warning
Copaxone,boxed_warning
Gabapentin,boxed_warning
Gilenya,boxed_warning
Kesimpta,boxed_warning
Lemtrada,boxed_warning
Mavenclad,boxed_warning
Mayzent,boxed_warning
Mitoxantrone,warnings_and_precautions
Modafinil,boxed_warning
Ocrevus,boxed_warning
Plegridy,boxed_warning
Ponvory,boxed_warning
Rebif,boxed_warning
Solu-Medrol,warnings_and_precautions
Tecfidera,boxed_warning
Tyruko,boxed_warning
Tysabri,boxed_warning
Vumerity,boxed_warning
Zanaflex,boxed_warning
Zeposia,boxed_warning
