drug_name,adverse_reactions,boxed_warning,contraindications,dosage_and_administration,drug_interactions,indications_and_usage,use_in_specific_populations,warnings,warnings_and_precautions
Acthar Gel,1,3,1,3,1,1,0,3,0
Ampyra,3,0,1,3,1,1,4,0,3
Aubagio,4,0,1,1,3,1,7,0,12
Avonex,4,0,1,3,0,1,4,0,6
Baclofen,1,1,1,1,0,1,0,3,0
Bafiertam,3,0,1,3,1,1,4,0,8
Betaseron,6,0,1,4,0,1,3,0,8
Briumvi,4,0,1,7,1,1,4,0,9
Copaxone,9,0,1,1,0,1,3,0,6
Gabapentin,7,0,1,4,1,1,6,0,9
Gilenya,6,0,1,6,3,1,6,0,18
Kesimpta,5,0,1,3,1,1,4,0,9
Lemtrada,7,0,1,5,0,1,4,0,21
Mavenclad,4,0,1,5,3,1,5,0,11
Mayzent,5,0,1,6,4,1,5,0,16
Mitoxantrone,6,5,1,5,1,1,0,7,0
Modafinil,4,0,1,1,3,1,5,0,7
Ocrevus,6,0,1,6,1,1,4,0,10
Plegridy,5,0,1,4,0,1,4,0,7
Ponvory,4,0,1,5,3,1,5,0,15
Rebif,4,0,1,3,0,1,4,0,6
Solu-Medrol,1,3,1,7,1,3,0,5,0
Tecfidera,3,0,1,1,0,1,3,0,9
Tyruko,10,0,1,4,1,3,4,0,14
Tysabri,10,0,1,4,1,3,4,0,14
Vumerity,3,0,1,3,1,1,4,0,8
Zanaflex,4,0,1,3,3,1,5,0,4
Zeposia,6,0,1,4,4,1,5,0,17
